timestamp,alert_type,item_id,reviewer_email,action,success
2026-01-25T15:49:13.730812,incident,TEST-001,tom@example.com,sent,False
2026-01-25T16:14:34.633774,incident,TEST-001,incidexau@gmail.com,sent,True
2026-01-25T16:21:30.700416,incident,INC-20260125162127,incidexau@gmail.com,sent,True
2026-01-25T16:21:34.269482,incident,INC-20260125162130,incidexau@gmail.com,sent,True
2026-01-25T16:21:37.682055,incident,INC-20260125162134,incidexau@gmail.com,sent,True
2026-01-25T16:21:41.238473,incident,INC-20260125162137,incidexau@gmail.com,sent,True
2026-01-25T16:21:44.739616,incident,INC-20260125162141,incidexau@gmail.com,sent,True
2026-01-25T16:21:48.185283,incident,INC-20260125162144,incidexau@gmail.com,sent,True
2026-01-25T16:21:51.902432,incident,INC-20260125162148,incidexau@gmail.com,sent,True
2026-01-25T16:21:55.423468,incident,INC-20260125162151,incidexau@gmail.com,sent,True
2026-01-25T16:21:59.125037,incident,INC-20260125162155,incidexau@gmail.com,sent,True
2026-01-25T16:22:02.631670,incident,INC-20260125162159,incidexau@gmail.com,sent,True
2026-01-25T16:22:06.080084,incident,INC-20260125162202,incidexau@gmail.com,sent,True
2026-01-25T16:22:09.539198,incident,INC-20260125162206,incidexau@gmail.com,sent,True
2026-01-25T16:22:12.916791,incident,INC-20260125162209,incidexau@gmail.com,sent,True
2026-01-25T16:22:16.291954,incident,INC-20260125162212,incidexau@gmail.com,sent,True
2026-01-25T16:22:19.747566,incident,INC-20260125162216,incidexau@gmail.com,sent,True
2026-01-25T16:22:23.153171,incident,INC-20260125162219,incidexau@gmail.com,sent,True
2026-01-25T16:22:26.664300,incident,INC-20260125162223,incidexau@gmail.com,sent,True
2026-01-25T16:22:30.097484,incident,INC-20260125162226,incidexau@gmail.com,sent,True
2026-01-25T16:22:33.452807,incident,INC-20260125162230,incidexau@gmail.com,sent,True
2026-01-25T16:22:36.925944,incident,INC-20260125162233,incidexau@gmail.com,sent,True
2026-01-25T16:22:40.339675,incident,INC-20260125162236,incidexau@gmail.com,sent,True
2026-01-25T16:22:43.780715,incident,INC-20260125162240,incidexau@gmail.com,sent,True
2026-01-25T16:22:47.736260,incident,INC-20260125162243,incidexau@gmail.com,sent,True
2026-01-25T16:22:51.173760,incident,INC-20260125162247,incidexau@gmail.com,sent,True
2026-01-25T16:22:54.666014,incident,INC-20260125162251,incidexau@gmail.com,sent,True
2026-01-25T16:22:58.084042,incident,INC-20260125162254,incidexau@gmail.com,sent,True
2026-01-25T16:23:01.708679,incident,INC-20260125162258,incidexau@gmail.com,sent,True
2026-01-25T16:23:05.215285,incident,INC-20260125162301,incidexau@gmail.com,sent,True
2026-01-25T16:23:08.678209,incident,INC-20260125162305,incidexau@gmail.com,sent,True
2026-01-25T16:23:12.089749,incident,INC-20260125162308,incidexau@gmail.com,sent,True
2026-01-25T16:23:15.413246,incident,INC-20260125162312,incidexau@gmail.com,sent,True
2026-01-25T16:23:18.903577,incident,INC-20260125162315,incidexau@gmail.com,sent,True
2026-01-25T16:23:22.195440,incident,INC-20260125162318,incidexau@gmail.com,sent,True
2026-01-25T16:23:25.627916,incident,INC-20260125162322,incidexau@gmail.com,sent,True
2026-01-25T16:23:29.100978,incident,INC-20260125162325,incidexau@gmail.com,sent,True
2026-01-25T16:23:32.630893,incident,INC-20260125162329,incidexau@gmail.com,sent,True
2026-01-25T16:23:35.991607,incident,INC-20260125162332,incidexau@gmail.com,sent,True
2026-01-25T16:23:40.059368,incident,INC-20260125162335,incidexau@gmail.com,sent,True
2026-01-25T16:23:43.582069,incident,INC-20260125162340,incidexau@gmail.com,sent,True
2026-01-25T16:23:47.062267,incident,INC-20260125162343,incidexau@gmail.com,sent,True
2026-01-25T16:23:50.513316,incident,INC-20260125162347,incidexau@gmail.com,sent,True
2026-01-25T16:23:54.018918,incident,INC-20260125162350,incidexau@gmail.com,sent,True
2026-01-25T16:23:57.474037,incident,INC-20260125162354,incidexau@gmail.com,sent,True
2026-01-25T16:24:01.140809,incident,INC-20260125162357,incidexau@gmail.com,sent,True
2026-01-25T16:24:04.527850,incident,INC-20260125162401,incidexau@gmail.com,sent,True
2026-01-25T16:24:07.872184,incident,INC-20260125162404,incidexau@gmail.com,sent,True
2026-01-25T16:24:12.158156,incident,INC-20260125162407,incidexau@gmail.com,sent,True
2026-01-25T16:24:15.543477,incident,INC-20260125162412,incidexau@gmail.com,sent,True
2026-01-25T16:24:18.921239,incident,INC-20260125162415,incidexau@gmail.com,sent,True
2026-01-25T16:24:22.330915,incident,INC-20260125162418,incidexau@gmail.com,sent,True
2026-01-25T16:24:25.797103,incident,INC-20260125162422,incidexau@gmail.com,sent,True
